Timestamp	Speed_40m	Dir_40m	Temp_2m
2023-01-01T06:40:00Z	9.04	155.5	27.2
2023-01-01T06:50:00Z	10.14	175.6	26.9
2023-01-01T07:00:00Z	8.67	191.0	28.1
2023-01-01T07:10:00Z	9.99	194.4	27.1
2023-01-01T07:20:00Z	8.53	175.4	27.8
2023-01-01T07:30:00Z	9.94	162.2	27.9
2023-01-01T07:40:00Z	10.57	163.0	28.9
2023-01-01T07:50:00Z	8.02	167.0	28.2
2023-01-01T08:00:00Z	8.19	162.3	29.3
2023-01-01T08:10:00Z	7.86	173.3	29.7
2023-01-01T08:20:00Z	8.93	167.5	28.7
2023-01-01T08:30:00Z	9.69	161.9	28.0
2023-01-01T08:40:00Z	8.12	166.2	29.3
2023-01-01T08:50:00Z	9.3	170.5	29.8
2023-01-01T09:00:00Z	9.64	183.3	29.4
2023-01-01T09:10:00Z	8.3	180.9	29.8
2023-01-01T09:20:00Z	9.67	184.8	29.4
2023-01-01T09:30:00Z	8.08	179.8	30.1
2023-01-01T09:40:00Z	10.25	187.0	29.5
2023-01-01T09:50:00Z	10.11	207.8	30.4
2023-01-01T10:00:00Z	8.31	214.3	29.9
2023-01-01T10:10:00Z	9.61	202.2	31.8
2023-01-01T10:20:00Z	10.18	197.7	31.4
2023-01-01T10:30:00Z	8.68	199.6	30.1
2023-01-01T10:40:00Z	8.34	189.9	30.8
2023-01-01T10:50:00Z	9.22	183.8	30.2
2023-01-01T11:00:00Z	10.83	179.9	30.9
2023-01-01T11:10:00Z	9.84	191.8	30.2
2023-01-01T11:20:00Z	8.65	195.1	30.5
2023-01-01T11:30:00Z	8.05	191.7	31.6
2023-01-01T11:40:00Z	10.02	199.1	31.9
2023-01-01T11:50:00Z	9.17	195.2	31.5
2023-01-01T12:00:00Z	9.07	189.3	31.1
2023-01-01T12:10:00Z	9.38	202.1	31.2
2023-01-01T12:20:00Z	8.43	219.4	30.7
2023-01-01T12:30:00Z	7.95	217.3	30.7
2023-01-01T12:40:00Z	8.9	221.5	31.6
2023-01-01T12:50:00Z	8.32	203.7	31.0
2023-01-01T13:00:00Z	10.18	207.0	31.1
2023-01-01T13:10:00Z	9.95	199.6	30.3
2023-01-01T13:20:00Z	9.01	198.9	30.5
2023-01-01T13:30:00Z	9.68	191.6	30.5
2023-01-01T13:40:00Z	8.98	191.6	30.5
2023-01-01T13:50:00Z	8.97	188.2	30.3
2023-01-01T14:00:00Z	9.33	178.1	30.7
2023-01-01T14:10:00Z	8.91	201.3	30.8
2023-01-01T14:20:00Z	9.45	194.9	30.5
2023-01-01T14:30:00Z	9.49	202.9	30.2
2023-01-01T14:40:00Z	8.92	197.8	30.1
2023-01-01T14:50:00Z	9.24	193.7	30.1
2023-01-01T15:00:00Z	8.43	204.8	29.5
2023-01-01T15:10:00Z	9.96	206.3	29.7
2023-01-01T15:20:00Z	7.3	193.3	30.2
2023-01-01T15:30:00Z	8.77	191.2	30.1
2023-01-01T15:40:00Z	9.0	201.5	30.6
2023-01-01T15:50:00Z	9.12	210.1	29.8
2023-01-01T16:00:00Z	9.79	207.3	28.3
2023-01-01T16:10:00Z	6.3	201.9	29.0
2023-01-01T16:20:00Z	8.53	207.4	28.9
2023-01-01T16:30:00Z	9.48	223.8	28.8
2023-01-01T16:40:00Z	9.16	200.2	29.2
2023-01-01T16:50:00Z	7.82	191.0	28.8
2023-01-01T17:00:00Z	7.19	177.3	29.0
2023-01-01T17:10:00Z	7.47	173.7	27.4
2023-01-01T17:20:00Z	7.85	172.5	28.9
2023-01-01T17:30:00Z	7.39	185.9	28.3
2023-01-01T17:40:00Z	9.19	179.0	28.1
2023-01-01T17:50:00Z	7.76	173.2	27.8
2023-01-01T18:00:00Z	9.86	155.7	27.3
2023-01-01T18:10:00Z	7.98	143.7	27.1
2023-01-01T18:20:00Z	8.95	144.9	26.6
2023-01-01T18:30:00Z	8.41	137.7	27.3
2023-01-01T18:40:00Z	9.57	142.3	26.7
2023-01-01T18:50:00Z	5.7	151.9	27.6
2023-01-01T19:00:00Z	7.92	152.8	25.9
2023-01-01T19:10:00Z	8.76	175.8	26.0
2023-01-01T19:20:00Z	8.39	182.1	25.6
2023-01-01T19:30:00Z	6.3	200.2	26.0
2023-01-01T19:40:00Z	8.55	213.5	26.8
2023-01-01T19:50:00Z	9.33	217.3	26.1
2023-01-01T20:00:00Z	7.49	189.6	24.7
2023-01-01T20:10:00Z	8.69	176.2	25.6
2023-01-01T20:20:00Z	7.38	160.9	25.4
2023-01-01T20:30:00Z	7.96	147.9	24.9
2023-01-01T20:40:00Z	8.86	147.9	24.5
2023-01-01T20:50:00Z	7.61	154.0	24.9
2023-01-01T21:00:00Z	7.96	167.6	25.3
2023-01-01T21:10:00Z	6.77	155.2	25.1
2023-01-01T21:20:00Z	7.96	126.8	24.3
2023-01-01T21:30:00Z	9.3	116.3	24.8
2023-01-01T21:40:00Z	9.21	98.5	23.3
2023-01-01T21:50:00Z	8.23	102.5	23.5
2023-01-01T22:00:00Z	7.14	111.7	24.3
2023-01-01T22:10:00Z	7.34	109.5	24.8
2023-01-01T22:20:00Z	10.15	110.5	23.8
2023-01-01T22:30:00Z	9.1	138.0	22.4
2023-01-01T22:40:00Z	9.88	145.4	23.6
2023-01-01T22:50:00Z	8.54	139.5	23.3
2023-01-01T23:00:00Z	7.92	129.7	23.0
2023-01-01T23:10:00Z	9.16	147.2	22.9
2023-01-01T23:20:00Z	8.82	180.8	22.6
2023-01-01T23:30:00Z	8.21	180.5	23.4
2023-01-01T23:40:00Z	6.26	170.0	24.5
2023-01-01T23:50:00Z	6.38	168.3	22.2
2023-01-02T00:00:00Z	7.52	189.2	23.1
2023-01-02T00:10:00Z	7.91	221.6	23.8
2023-01-02T00:20:00Z	7.11	226.3	23.2
2023-01-02T00:30:00Z	10.19	230.3	23.4
2023-01-02T00:40:00Z	9.35	216.2	22.7
2023-01-02T00:50:00Z	8.62	221.1	23.7
2023-01-02T01:00:00Z	9.37	210.6	23.1
2023-01-02T01:10:00Z	6.18	205.5	23.7
2023-01-02T01:20:00Z	9.79	207.6	24.2
2023-01-02T01:30:00Z	9.65	202.8	22.4
2023-01-02T01:40:00Z	8.16	211.3	22.9
2023-01-02T01:50:00Z	9.5	206.2	23.2
2023-01-02T02:00:00Z	8.65	196.0	23.6
2023-01-02T02:10:00Z	10.26	181.7	24.3
2023-01-02T02:20:00Z	7.15	183.1	23.5
2023-01-02T02:30:00Z	9.91	192.7	23.6
2023-01-02T02:40:00Z	8.91	196.1	23.6
2023-01-02T02:50:00Z	8.19	201.8	22.6
2023-01-02T03:00:00Z	7.61	187.5	24.4
2023-01-02T03:10:00Z	8.98	179.5	24.5
2023-01-02T03:20:00Z	8.06	166.5	24.5
2023-01-02T03:30:00Z	7.96	175.3	24.7
2023-01-02T03:40:00Z	7.93	183.0	23.8
2023-01-02T03:50:00Z	9.2	190.2	24.1
2023-01-02T04:00:00Z	8.95	194.2	24.9
2023-01-02T04:10:00Z	8.7	202.2	25.7
2023-01-02T04:20:00Z	9.23	211.3	26.3
2023-01-02T04:30:00Z	7.15	247.1	24.4
2023-01-02T04:40:00Z	7.33	260.2	24.6
2023-01-02T04:50:00Z	9.47	287.0	24.4
2023-01-02T05:00:00Z	6.95	285.5	26.6
2023-01-02T05:10:00Z	9.29	278.4	24.8
2023-01-02T05:20:00Z	10.23	294.4	26.7
2023-01-02T05:30:00Z	8.99	284.8	26.0
2023-01-02T05:40:00Z	9.0	278.2	25.7
2023-01-02T05:50:00Z	7.8	279.3	25.1
2023-01-02T06:00:00Z	9.35	282.7	26.7
2023-01-02T06:10:00Z	8.12	285.5	27.2
2023-01-02T06:20:00Z	10.19	300.4	27.6
2023-01-02T06:30:00Z	9.99	299.5	26.5
2023-01-02T06:40:00Z	10.71	290.4	27.3
2023-01-02T06:50:00Z	10.21	279.2	26.9
2023-01-02T07:00:00Z	10.46	285.3	28.7
2023-01-02T07:10:00Z	8.42	291.5	27.0
2023-01-02T07:20:00Z	9.63	293.5	29.0
2023-01-02T07:30:00Z	9.68	305.1	28.8
2023-01-02T07:40:00Z	9.43	306.6	27.3
2023-01-02T07:50:00Z	9.85	332.2	28.7
2023-01-02T08:00:00Z	9.47	312.2	28.8
2023-01-02T08:10:00Z	9.89	299.3	28.6
2023-01-02T08:20:00Z	9.59	277.1	28.5
2023-01-02T08:30:00Z	9.1	274.5	28.7
2023-01-02T08:40:00Z	8.45	266.4	28.9
2023-01-02T08:50:00Z	9.43	232.6	29.2
2023-01-02T09:00:00Z	8.09	238.3	30.1
2023-01-02T09:10:00Z	9.4	254.6	29.7
